Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
930108050000700800001009060090006130005007000103800002006000905000000328000000010,932168457654732891781459263897526134245317689163894572376281945419675328528943716,27,47,7,0,0,0,0,0,0,Easy,
000006801001000430000020060100030050000090000000000018000002046083500020250019000,532746891761958432498123765126837954845291673379465218917382546683574129254619387,25,43,13,0,0,0,0,0,0,Easy,
000394500000700000000805041800430205000001930010002800580000100030200000000000020,178394562254716389963825741896437215427581936315962874582643197631279458749158623,26,47,7,1,2,2,2,1,0,Expert,
000009050020030000000006904090062105006080300080300000000500032000000000008490600,167849253924135768835276914493762185516984327782351496649517832371628549258493671,24,50,7,0,0,0,0,0,0,Easy,
400000500000000874073006001700602100002504000010000006304000000527000300000000008,491728563256139874873456291748692135632514987915387426384975612527861349169243758,25,54,2,0,0,0,0,0,0,Easy,
080009030090507001003800020009000800240000090500400007001040005000000072000003000,487219536692537481153864729719326854248751693536498217871942365364185972925673148,24,46,10,2,1,2,0,1,0,Expert,
300000109010065030004003006030824000809001000000600000406510000500009000098200040,365482179712965834984173526637824951849351267251697483476518392523749618198236745,28,62,2,0,0,0,0,2,2,Expert,
000000005050000801400000036000020080003071640020306007000518000000002000306040000,638197425259463871471285936167924583593871642824356197742518369985632714316749258,25,45,11,0,0,0,0,0,0,Easy,
906000500010090400070806019004000000000718200000050007009000050000089000600042000,936471528812395476475826319724963185593718264168254937249637851357189642681542793,25,54,16,0,0,0,0,2,2,Expert,
000800090000005807900007001020000000376200000005006000600500019010090002509001036,147862395263915847958347621821754963376289154495136278632578419714693582589421736,27,35,19,1,0,1,0,0,0,Intermediate,
020107000500000000000009000090010032700600010000893060805000100000206073003000600,429167358517438296386529741694715832738642915152893467865374129941286573273951684,25,49,7,0,0,0,0,0,0,Easy,
007080200000060004050400010000005000000100900010706000100002080209000006400600107,647581293891263754352497618724935861536148972918726345165372489279814536483659127,24,94,21,1,1,1,0,8,6,Expert,
400009002091060008000000700000020007000080910000100500000800000080075064000040070,478319652591762348236458791315926487627584913849137526764891235983275164152643879,23,47,11,0,0,0,0,0,0,Easy,
200000807000480000000009543000070054750000320420030009030100070000300402000002008,245613897397485216168729543983271654756894321421536789632148975819357462574962138,28,35,18,2,0,0,0,0,0,Intermediate,
800001200000006000000000673403008000000000001007020986040000819026000300900003000,869731254734256198251849673493168725682597431517324986345672819126985347978413562,25,42,14,0,0,0,0,0,0,Easy,
000800000708000090000020000209030580001090070400000020102008459070002800000400000,923847165748561392615329748269734581381295674457186923132678459574912836896453217,25,52,4,0,0,0,0,0,0,Easy,
400300000900070000002400006008000000709008601130094000000080300006901700200700000,451362879963875412872419536648127953729538641135694287517286394386941725294753168,25,40,16,0,0,0,0,0,0,Easy,
200501000000000029000308740000007098320000000000050000000400000093700510000019007,274591863538674129961328745156247398327986451489153672712435986893762514645819237,24,49,8,0,0,0,0,0,0,Easy,
002600005000008000000501000100007006306800070000003001621030807005000064708000000,812649735567328419493571628189257346356814972274963581621435897935782164748196253,26,38,16,1,0,0,0,1,0,Expert,
100000000000050917000806054000041760000080000706900000000020091500004008010009040,154793826638452917279816354385241769921687435746935182467328591593164278812579643,26,39,16,0,0,0,0,0,0,Easy,
000004703007000050000300200000060005020003409000007000830000060400002008002609000,268594713347218956915376284793461825621853479584927631839745162476132598152689347,23,39,21,1,1,1,0,4,2,Expert,
080000670000070080000003500000000040007040300010068900098006031070001006300400090,985214673143675289726893514639527148857149362412368957298756431574931826361482795,26,33,22,1,1,0,0,0,0,Intermediate,
003005106100000000090000000010004007600300000470061059060200000950000403000000900,723985146146732895598146732319524687685379214472861359864293571957618423231457968,24,44,13,0,0,1,0,0,0,Intermediate,
020360090805009200010007300100000005000006039000502600050000060000800000000000501,724365198835419276916287354167938425542176839389542617458721963691853742273694581,24,34,23,0,0,0,0,0,0,Easy,
040000000010070000902000000003081062000006070200709040000000700094008006801400020,547613298618972435932854617473581962189246573265739841326195784794328156851467329,25,45,11,0,0,1,0,0,0,Intermediate,
042000000100000002007500003000035090008900100021070005014300009000008000300700000,842693517153487962697521843476135298538962174921874635214356789769248351385719426,24,51,6,0,0,0,0,0,0,Easy,
070005003150000040300400200000840005002060080043020160000600500000000000000031000,274985613156372948389416257617849325592163784843527169728694531931258476465731892,24,49,8,0,0,0,0,0,0,Easy,
071094208006010907000000040020000590090006020000000004000100005002050070060700080,371594268846213957259687341724831596195476823638925714987162435412358679563749182,26,89,25,0,2,1,0,8,10,Expert,
000072000100006023000000009003120090000000000000009418000460700600000080007098030,396872145174956823528341679863124597941785362752639418289463751635217984417598236,24,56,1,0,0,0,0,0,0,Easy,
000001000005000060000603820000000012300007900106020070600710090070950000002000000,263581749845279361719643825587394612324167958196825473638712594471958236952436187,24,44,11,1,2,7,0,2,0,Expert,
040000090000700000600000507500309000070050000006240008007900030904000080802530040,745163892281795463693428517528319674479856321316247958157984236934672185862531749,26,45,9,0,0,0,0,1,0,Expert,
060300000080002000000607031007006340400020080006900700210000004000040000003000108,764315829381492567952687431197856342435721986826934715218573694679148253543269178,25,30,26,2,0,1,0,0,0,Intermediate,
003000650408000000050069400034001900000805030005090007000080009000040500009000300,973418652468532791251769483834671925697825134125394867546183279382947516719256348,25,39,17,0,0,0,0,0,0,Easy,
000000200002100054031700000009200701040009008050004920005080000018000000300002000,596348217782196354431725869869253741247619538153874926925481673618537492374962185,25,41,15,0,0,0,0,0,0,Easy,
000380004830605090000070000000147000000800470000050000600001047300900010590000306,719382654834615792256479831963147528125896473478253169682531947347968215591724386,27,47,7,0,0,0,0,0,0,Easy,
508004000100520070000000100000000096000009000000600201400006058800200400000070000,578164923196523874234987165381742596625819347749635281412396758867251439953478612,22,43,16,1,0,0,0,0,0,Intermediate,
005000200000207180004000007000900051003000008540300090309000000000030040071090500,715689234936247185824153967268974351193562478547318692389425716652731849471896523,25,44,12,0,0,0,0,0,0,Easy,
100000000083540090000008000000050073009634050040000000001003907090000301006010040,157296834283541796964378215612859473879634152345127689521483967498765321736912548,26,68,24,0,0,3,0,5,4,Expert,
000000000000209607610000300080002700140000090902003000004008213030000000001000460,429736581358219647617584329586192734143675892972843156764958213235461978891327465,25,42,14,0,0,0,0,0,0,Easy,
025000003000540086486009020000000000309000005042008009068000000900300010000400000,725861493193542786486739521857693142319274865642158379568917234974325618231486957,25,41,14,2,0,1,0,1,0,Expert,
000000178000000905400050000305700000000800000090010380000007810100040030503001200,659324178832176945417958623385792461241863759796415382924537816168249537573681294,25,36,20,0,0,0,0,0,0,Easy,
006000040020750010400020500001583000050040700040200030360000000000010000000000080,516938247928754613437126598271583469853649721649271835362895174784312956195467382,23,48,10,2,0,0,0,0,0,Intermediate,
003600005000000803000804290000900020940085030000407000000000059002506780004070000,483692175629751843517834296768913524941285637235467918176328459392546781854179362,27,47,7,0,0,0,0,0,0,Easy,
100000000000807014080200500000600005024001003000370080000400300702000406000036001,167945238253867914489213567378629145624581793591374682816452379732198456945736821,26,57,17,2,0,3,1,4,4,Expert,
400000060000000903000000000003057000007900004000601302031702600600000040900100207,418239765756814923329576418283457196167923584594681372831742659672395841945168237,25,43,13,0,0,0,0,0,0,Easy,
020005074001000005045000920000002700310400000002853000050009002000000100090000008,829615374731924865645738921564192783318467259972853416157389642283546197496271538,25,45,11,0,0,0,0,0,0,Easy,
470000510005063009020500000006050300007100000050020100060000003000001700030209000,473982516185463279629517438216758394347196852958324167761845923892631745534279681,25,40,24,3,0,1,0,3,2,Expert,
009200010000904060270050000020008000001000007080006004000002070005080041000015008,349267815158934762276851439927348156461529387583176924814692573695783241732415698,25,49,15,1,1,2,0,3,2,Expert,
006000000380000050900000046004000000200675000007083000000050300569000080070002490,746528913381946752925317846634291578298675134157483629412859367569734281873162495,25,47,16,2,2,6,0,3,2,Expert,
082004091000000006000000800520010004000309000006008000040001030000600048000083120,782564391135892476469137852523716984814359267976248513248971635391625748657483129,25,46,10,0,0,0,0,0,0,Easy,
270000800100005040050400100600008700710360200400002010000700406300000000000000002,274139865183625947956487123692518734718364259435972618821753496347296581569841372,25,41,15,0,0,0,0,0,0,Easy,
706030020000002090800004307004000069900070000003000050542000070000000500000800600,716938425435712896829654317274583169951476283683129754542361978368297541197845632,24,40,17,0,0,0,0,0,0,Easy,
000100208000200010000078600000080000041006000700010006000900000006004300084020097,653149278897263415412578639269785143541396782738412956125937864976854321384621597,24,42,14,0,0,0,0,1,0,Expert,
700000045000002100001400270000640750000000901007305002060730000000500609205900000,792163845534872196681459273923641758456287931817395462169738524378524619245916387,28,46,14,1,0,0,0,3,2,Expert,
900000631000000090000600002300000080600080903040190060000410000290038007008000000,974852631562341798183679542329765184651284973847193265735416829296538417418927356,25,29,27,0,0,0,0,0,0,Easy,
080940000000008000002000000034000180910060005050030000560390008000100500003000029,381945672475628391692713854734259186918467235256831947567392418829174563143586729,25,44,12,0,0,0,0,0,0,Easy,
000008020700205600000090000209000000160000040080100750600400012010009000000680000,946318527738245691521796384259874163167953248384162759695437812813529476472681935,24,34,21,3,0,1,0,2,0,Expert,
108049000050000000007006130009004001080000500500070009701003840005000000640000003,168349752354712698927856134279564381486931527513278469791623845835497216642185973,26,40,15,0,0,0,0,0,0,Easy,
500000000000000301002000008080004030097805014000702809300000407800090100025007000,538421976749586321162379548281964735697835214453712869316258497874693152925147683,27,66,5,2,1,2,0,6,4,Expert,
005000000900783000020600304400002080007000000000907000000004200256090008009000560,135429876964783152728615394493152687517846923682937415871564239256391748349278561,25,58,3,2,0,0,0,2,2,Expert,
080013070900402005300050900000021000008000009000004002051000000400005320000100050,586913274917462835342758916794821563238576149165394782651237498479685321823149657,25,35,19,2,1,3,0,2,0,Expert,
000005007000000300200300108800704006702600005010058002000403000006082001000007020,361845297578219364249376158853724916792631845614958732127463589936582471485197623,27,50,4,0,0,0,0,0,0,Easy,
250030001917000030000008070170006500502000100063000002805000006000087000020050008,258734691917562834346918275179826543582493167463175982895341726631287459724659318,28,41,12,0,0,0,0,0,0,Easy,
000500610000002050000070000000803100000060079201009000005001000009000780002690005,924538617786912453153476892597823164348165279261749538475381926639254781812697345,24,48,9,0,0,0,0,0,0,Easy,
300000000287000060010300208160000000000000070020410003536000017400080000070050406,359268741287541369614397258163875924948632175725419683536924817491786532872153496,27,50,4,0,0,0,0,0,0,Easy,
058000070000003004000000000080004006046090800000007003094005080000900200370600000,658419372127583964439276158983154726746392815512867493294735681865941237371628549,23,49,9,0,0,0,0,0,0,Easy,
000000006200136000050980000008090003034050900000000020000000080000345102000062030,481527396297136854653984217528691743734258961916473528342719685869345172175862439,25,39,17,0,0,0,0,0,0,Easy,
003000050000003000010040000032600004800000000006189020060200090029500803450000006,693721458284953671715846932932675184871432569546189327368214795129567843457398216,26,35,19,1,0,0,0,1,0,Expert,
000067203056920007000401600032005000040000500009002000497200000020000009301070000,914567283856923147273481695132745968748396521569812734497258316625134879381679452,28,51,11,0,0,0,1,2,2,Expert,
000100002509804000620093010103540000000000350000209001360000800900000000040052000,738165492519824637624793518183547269297618354456239781362971845975486123841352976,27,44,10,0,0,0,0,0,0,Easy,
014200007502060000030190004060007900000000003000300200690000000000030052040000060,914253687582764391736198524361827945429615873857349216695472138178936452243581769,24,41,16,0,0,0,0,0,0,Easy,
000092000060870030005010007006000300000000090010700020000305060073000158009000000,738592416961874532245613987896251374527438691314769825182345769473926158659187243,24,50,7,3,0,0,0,0,0,Intermediate,
020560000050479300090002000004700090000035080009000203060000008807000540000800007,423568719158479326796312854384721695672935481519684273965247138837196542241853967,27,76,22,1,1,2,0,6,8,Expert,
080006900000200400600408750050000610100000009960002000200005100000007020000100080,481576932537291468629438751752849613148653279963712845274385196815967324396124587,25,40,16,2,0,0,1,0,0,Intermediate,
508030096900004000000000800000027005020000900430065002600800000003000000050070200,578231496962784153341596827186927345725348961439165782697812534213459678854673219,24,57,17,1,0,0,0,3,2,Expert,
004015000600000007025300000000800000002060408017200300003000000008070000040002105,374615829681429537925387614469853271532761498817294356193548762258176943746932185,24,45,12,1,0,0,0,0,0,Intermediate,
900020000200700900003000060639000000740506010002000000400300570500470600000090000,965824731214763985873159462639241857748536219152987346496312578521478693387695124,25,46,10,0,0,0,0,0,0,Easy,
002000487304000900907005060600740032000369800000000040000020000000008000700003000,512936487364287915987415263698741532425369871173852649839124756251678394746593128,25,54,2,0,0,0,0,0,0,Easy,
600000007000900000000070500200700005700300600359600020020000000070893006090460008,615238947437956812982174563261749385748325691359681724826517439174893256593462178,26,37,18,0,0,0,0,0,0,Easy,
000000081209070600008060000000900070000406000031080000600300700304000002090010008,763549281259178634148263957426931875875426193931785426682354719314897562597612348,24,36,21,0,0,0,0,0,0,Easy,
070020081000040900106050420720000100004209000009010000000104000000000600802060500,475926381283741965196853427728435196614279853359618742567194238931582674842367519,26,50,5,0,0,0,0,0,0,Easy,
000090107081000030700000005090710000000000000073000608930650704016000500400009860,365892147281574936749361285698713452524986371173245698932658714816437529457129863,28,81,12,1,0,2,3,7,10,Expert,
800002300042900015000500004001350000050008000000070802000007000000810070000429001,815742396642983715739561284281356947457298163963174852194637528326815479578429631,26,41,14,0,0,0,0,0,0,Easy,
008600074203080050000000000090000300030050007000078005020740009000203000070009060,958632174243187956167594283795426318836951427412378695621745839589263741374819562,25,37,19,0,0,0,0,0,0,Easy,
040000000005070000700090008090000001210050800007940002000800045050006900004720000,849562713325178469761394258496283571213657894587941632672819345158436927934725186,25,40,21,3,0,0,0,3,2,Expert,
000008906032000005900027800203000001090002007560000000000006309010800072050000008,175348926832961745946527813283754691491682537567193284728416359619835472354279168,27,54,0,0,0,0,0,0,0,Simple,
006200800500480060000000050080004703002057490000800000040030600000000070078000200,736295841529481367814376952185964723362157498497823516941732685253648179678519234,25,53,31,1,2,0,0,4,4,Expert,
703060005000000000050002308090000080001000000687000100070500032130078090900020000,713864925268935714459712368394156287521387649687249153876591432132478596945623871,26,48,7,0,0,0,0,0,0,Easy,
900000700500000080410000029105400000000907000800005000000204030020380050008700240,982543761567192384413876529175428693246937815839615472751264938624389157398751246,26,52,24,0,0,2,0,4,6,Expert,
700000900053100040090026000000400500000000016000910070000043002005000700030095000,761834925253179648498526137317462589984357216526918374179643852645281793832795461,24,39,17,0,0,0,0,1,0,Expert,
014000280200040609007009000100006000080010460000000802048300020000000900002008004,914637285235841679867529341123486597589712463476953812748395126651274938392168754,26,44,29,1,0,1,0,5,4,Expert,
287000000030200500009000000900010702000006305050000069002003010170090000000080200,287569431436271598519438627968315742721946385354827169842753916173692854695184273,25,41,15,1,0,0,0,0,0,Intermediate,
048030075000007000600000100000001080000460000035798001061000000070105030900070000,148936275329517468657842193796251384812463759435798621561329847274185936983674512,26,37,17,4,0,1,0,1,0,Expert,
805290000070005006040080000089000000300860000000007040050030870000000000260508000,835296714971345286642781935489153627327864159516927348154639872798412563263578491,24,38,19,0,0,0,0,0,0,Easy,
030005800700900001900000370000000100503700000870006200006050000007000910050002008,431275896768943521925681374642539187513728649879416253196857432287364915354192768,25,38,18,2,0,0,0,0,0,Intermediate,
000051000000006209060209074000015030000400000500027000006000390020670000001000740,294751683137846259865239174672915438913468527548327961756184392429673815381592746,26,41,14,0,0,0,0,0,0,Easy,
935100200000000000007624000071000000000032000002000040040000103090306002020009005,935187264264593817817624539471965328689432751352871946746258193598316472123749685,25,46,10,0,0,0,0,0,0,Easy,
000030009000050270800000600074000050908073004005002008007000005000940060000007030,716234589493856271852791643274189356968573124135462798647328915321945867589617432,25,51,17,3,2,0,0,2,2,Expert,
703000000009500000150090030000009000810037960064800700400100600000070000007360000,783416259249583176156792438372649581815237964964851723438125697621978345597364812,26,33,22,1,0,0,0,0,0,Intermediate,
001000003700040000000000421320000504000050000540172009030600000000000640000900072,491526783782341956653798421327869514918453267546172839234687195179235648865914372,25,34,22,0,0,0,0,0,0,Easy,
000000230600000800003000005409200058135006009002000000000050040004000196200100000,958647231621539874743821965479213658135786429862495317316958742584372196297164583,25,71,8,3,0,3,0,5,4,Expert,
000060050002034089460500200750000002308000090009003570000000068800009007000000000,983261754512734689467598213751946832328175496649823571295417368834659127176382945,26,57,19,1,0,0,0,3,2,Expert,
100000000000000000060000059020140600900020005301007004004006030003500020050092070,139265847475938162862471359527149683946823715381657294294716538713584926658392471,25,54,2,0,0,0,0,0,0,Easy,
060803005000200000000094030900400000000920007000075208230000580050000000040300062,764813925395267814128594736972438651586921347413675298231746589659182473847359162,26,48,7,0,0,0,0,0,0,Easy,
000009040000000018004000005400080000000300024093004500002100000000820091006050000,681539247759462318234718965427685139568391724193274586972146853345827691816953472,23,39,30,1,0,2,0,2,2,Expert,
000600540670000000094000000702000090080100000006008000500700009000429001060050002,218693547675284913394517826742365198983142765156978234521736489837429651469851372,24,50,7,0,0,0,0,0,0,Easy,
483000000000208000700610000008030100900701040000080009006074080194006000000020000,483597621561248793729613854648935172952761348317482569236174985194856237875329416,26,48,7,0,2,6,1,0,0,Intermediate,
008502900006010072200000000060800401900005006800000009009200007000050000004060150,138572964456319872297684315765893421943125786812746539589231647671458293324967158,26,47,27,0,0,0,0,2,2,Expert,
000009100080037050010025068600000200935000006000000000001000609300000021200060003,523689147486137952719425368678513294935274816142896735851342679367958421294761583,26,90,9,4,0,2,0,7,8,Expert,
800009600000000215026000000000000000154000000790005041500092700060500030008004900,815249673947386215326751498683417529154923867792865341531692784469578132278134956,26,42,13,2,0,0,0,0,0,Intermediate,
002000300430600810058100000040520090500030000280960000000000640060000501000200080,192784356437652819658193274346521798579438162281967435923815647864379521715246983,27,39,15,1,1,3,0,0,0,Intermediate,
700300000000020008012605037006130002000000801000900050000050003500000100081090200,748319526365427918912685437856134792439572861127968354294851673573246189681793245,26,73,21,4,0,3,0,9,6,Expert,
000706890060051700080400500057000060000000100130000000570600030009308000040000009,215736894964851723783492516857914362492563187136287945571649238629378451348125679,26,41,13,1,1,0,0,1,0,Expert,
010006405000502000630000000090000210000030000458001300000004006041005800806120000,219376485784512693635849721397658214162437958458291367523984176941765832876123549,27,37,17,0,0,0,0,0,0,Easy,
069000700001740060008060005000007000000000008000001420014000000200500800805020190,369152784521748369748963215486237951132495678957681423614879532293516847875324196,25,43,13,0,0,4,0,0,0,Intermediate,
000160205000200004400000670090000000750010060080900000008000090000640000170025000,937164285865297134412583679396458721754312968281976453648731592523649817179825346,24,51,6,0,0,0,0,0,0,Easy,
000090000000000305000703090010004050032800040570301002000010000000400027007005809,423596178798142365156783294819274653632859741574361982285917436961438527347625819,26,65,11,2,0,1,0,2,2,Expert,
080000000600009030035801046260005090000000305300020000410000000000000852000900003,184632579672549138935871246261385794847196325359724681413258967796413852528967413,25,54,2,0,0,0,0,0,0,Easy,
000002000300007028000010009075000000203000950001304002000103000900075000040298000,684932175319547628752816349475629813263781954891354762528163497936475281147298536,26,44,11,0,0,0,0,0,0,Easy,
400008700502000000000004950009000015100007300000100820000805000250009073000000040,491658732532971486687324951879243615126587394345196827714835269258469173963712548,25,47,9,0,0,0,0,0,0,Easy,
000820063060031049000049800003900700700000090000000004010003007000080010902407080,479825163268731549531649872123964758784352691695178234816593427347286915952417386,28,36,16,1,0,1,0,1,0,Expert,
400050107700000080050000203600802000000036010005070300000000500008000006200410800,482653197793241685156987243631892754874536912925174368349768521518329476267415839,25,52,4,0,0,0,0,0,0,Easy,
000070300050000100600900070400001000790020000030040000000002903300005007501700600,284176395957283146613954872462591738795328461138647529876412953349865217521739684,24,34,23,0,0,0,0,0,0,Easy,
003000004000000900000904072000030600000200400420075003200760008600000000000008050,193827564742356981865914372987431625536289417421675893259763148618542739374198256,23,45,13,0,0,0,0,0,0,Easy,
000007006004000000900000450005600308000000042000000600070080063409002007200050080,153947826864215739927836451715624398698573142342198675571489263489362517236751984,24,52,5,1,0,0,0,0,0,Intermediate,
020000040580010000004300500250000009013000080060020300039060804000000631000000050,321659748586417293794382516257843169913576482468921375139765824875294631642138957,26,51,4,0,0,0,0,0,0,Easy,
670040000000130640003000002056900100709000006210000000064000500000000039002500007,671842395925137648843695712456978123739214856218356974364729581587461239192583467,26,52,3,0,0,0,0,0,0,Easy,
700000090840000000002017804009000001307080040080000307090000000200040953000500720,713458692846239175952617834429763581367185249185924367598372416271846953634591728,27,48,6,4,0,1,1,0,0,Intermediate,
600201009009706312000049000000000500000020600013090020060000240097000000530000000,675231489849756312321849756286417593954328671713695824168973245497562138532184967,26,49,6,0,0,0,0,0,0,Easy,
000300060670042108000001907040020000000000079002038000000004002800090046000800310,129387564675942138483651927547129683318465279962738451736514892851293746294876315,27,50,3,3,0,0,0,1,0,Expert,
000000230000025860000400000090804000206097000003600050500046080009000003002000700,954168237371925864628473195195834672246597318783612459537246981469781523812359746,25,44,11,2,1,3,0,1,0,Expert,
002140006056000000090005001060080900930000000000004850005090000000053210000000040,872149536156738492493625781564381927938572164721964853215496378647853219389217645,24,33,24,0,0,0,0,0,0,Easy,
000013000000090700000602000600001004000500309394000000071005906020000005050009010,548713692162498753739652148685931274217546389394827561471385926926174835853269417,25,43,13,0,0,0,0,0,0,Easy,
400000000009580700008200600000000000000003205004000090030000904702050000800970050,467139528329586741518247639953812467671493285284765193135628974792354816846971352,23,36,22,0,0,0,0,0,0,Easy,
000007000056000000000000090000708320027900600300050004704030005503000009080070000,839617542256894137471325896945768321127943658368251974794136285513482769682579413,24,38,19,0,0,0,0,0,0,Easy,
390040080200000000005907040000209000030080120000000307400000005500000010010000709,397142586264853971185967243741239658936785124852416397429371865573698412618524739,24,42,15,1,0,0,0,0,0,Intermediate,
200400000000000120030000009009520076000070000700190000002006905070000002053210640,297461583685937124431852769319528476528674391764193258142786935976345812853219647,27,37,17,0,0,0,0,0,0,Easy,
060003942000000300800004000900000084010000000000800073720060009000000030041000600,167583942294671358835294761972356184318742596456819273723465819689127435541938627,23,37,21,0,0,0,0,0,0,Easy,
300160004080040950005000000701600000060890010030000040008000006000080400000300007,329165874687243951145978362791634528564892713832517649978451236213786495456329187,24,37,20,0,0,0,0,0,0,Easy,
000000507000900000102074090087000020009640000000000810078005062000000005000106900,893261547746953281152874396587319624219648753634527819378495162961782435425136978,25,61,10,1,0,3,0,2,2,Expert,
100500900000608001690003020000005008010320000070000000000000000300000002508100073,183542967752698341694713825436975218819326754275481639941237586367854192528169473,23,34,23,1,0,2,0,1,0,Expert,
000000000008010000070000005080650700900000004004009200005006009402075060010042507,529467813648513972371298645283654791967821354154739286735186429492375168816942537,26,51,4,0,0,0,0,0,0,Easy,
800400000001095000009021050000086000090540000000903600005000100004300062280010005,852437916341695278769821453427186539693542781518973624935268147174359862286714395,27,48,6,0,0,0,0,0,0,Easy,
001090007300070002000105000002000001500600300009708026600002000007980003000000000,481293567395876142726145839862439751574621398139758426648312975257984613913567284,24,47,13,1,1,1,0,3,2,Expert,
000007020004000008000009504308001040200000000000002905705030000000100072020004009,983547621514623798672819534368951247259476183147382965795238416436195872821764359,24,33,24,1,0,0,0,0,0,Intermediate,
800317000300500000000060002000090030910806257000050601030000806000000000000280019,842317965396528174571964382625791438914836257783452691239175846158649723467283519,27,41,11,3,0,0,0,2,0,Expert,
000065020028030000406000000070001400104003065000700803000000000500020000302010006,731865924928437651456192387873651492194283765265749813619574238587326149342918576,25,53,18,1,0,2,2,2,2,Expert,
500000000201800007030007000000409020098000001402300008050908300900200000003500700,587624139241893567639157284715489623398762451462315978156978342974236815823541796,26,39,16,1,0,0,0,0,0,Intermediate,
000000000020030000010800300000000000037200008200019704100080007400700012078005030,365947281824631975719852346941578623537264198286319754192483567453796812678125439,25,33,23,0,0,1,0,0,0,Intermediate,
090087005000350000704009000300090000000104000008706000035040008060000004000008510,293487165186352749754619382317895426629134857548726931935241678861573294472968513,25,128,24,8,2,6,1,15,24,Expert,
000600120600130049000005000000000007021000005005000360000504902510000003070060000,953647128687132549142895736468953217321476895795281364836514972514729683279368451,25,56,14,1,0,1,0,2,2,Expert,
001509400400002059000601700500060000302000000040000007000005003010030005250100060,721589436486372159935641782597268341362714598148953627674825913819436275253197864,26,34,21,0,0,0,0,0,0,Easy,
000500010700046500000080400800079030000830041007005908006000809000791064000000000,498527316731946582265183497812479635659832741347615928126354879583791264974268153,28,51,2,0,0,0,0,0,0,Easy,
000008901000410706000000020007020800005700400010059000000000000000840560900061080,572638941389412756164975328637124895295786413418359672856297134721843569943561287,25,47,9,0,0,0,0,0,0,Easy,
600080007000746000010000003700001300800090000000400950030510080000004000000300540,652183497389746215417952863795861324843295671126437958234519786578624139961378542,24,38,19,0,0,0,0,0,0,Easy,
097001000200000008050002700018006050000000309700000006060030000902000001001200670,897461523246573918153982764418396257625714389739825146564137892972658431381249675,25,48,8,0,0,0,0,0,0,Easy,
000006019020000000061000005304000060000500004270000500000400900040200357000700200,435826719927145638861397425354978162196532874278614593712453986649281357583769241,24,41,16,2,0,2,0,0,0,Intermediate,
000020006000004720009001000280000000500007680000006100000000005000780004000649810,147528396835964721629371458286413579514297683793856142478132965961785234352649817,24,42,15,0,0,0,0,0,0,Easy,
000104000094308006000090000300000000050000000071000800500070100008946030700800004,827164395194358276635792481386521749952487613471639852549273168218946537763815924,24,41,16,5,0,0,0,0,0,Intermediate,
000000600000000000970102008000009582000000000605000190800703960020901000107580020,512498637468357219973162458741639582239815746685274193854723961326941875197586324,27,54,0,0,0,0,0,0,0,Simple,
